Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
115	434	0	0.70286013	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
116	437	0	0.708971957	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
117	440	0	0.715083784	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
118	443	0	0.721195611	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
119	446	0	0.727307438	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
120	448	0	0.733419266	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
121	452	0	0.739531093	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
122	454	0	0.74564292	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
123	457	0	0.751754747	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
124	460	0	0.757866575	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
125	462	0	0.763978402	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
126	465	0	0.770090229	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
127	468	0	0.776202056	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
128	471	0	0.782313883	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
129	473	0	0.788425711	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
130	476	0	0.794537538	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
131	480	0	0.800649365	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
