Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
135	490	0	0.825096674	293.2	293.2	293.2	293.2	6.88942237e-11	0	0	0	0	0	3
136	494	0	0.831208501	293.2	293.2	293.2	293.2	6.96331881e-11	0	0	0	0	0	3
137	496	0	0.837320328	293.2	293.2	293.2	293.2	7.02584657e-11	0	0	0	0	0	3
138	499	0	0.843432156	293.2	293.2	293.2	293.2	7.09405867e-11	0	0	0	0	0	3
139	502	0	0.849543983	293.2	293.2	293.2	293.2	7.16227078e-11	0	0	0	0	0	3
140	504	0	0.85565581	293.2	293.2	293.2	293.2	7.23048288e-11	0	0	0	0	0	3
141	508	0	0.861767637	293.2	293.2	293.2	293.2	7.30437932e-11	0	0	0	0	0	3
142	510	0	0.867879464	293.2	293.2	293.2	293.2	7.36690708e-11	0	0	0	0	0	3
143	513	0	0.873991292	293.2	293.2	293.2	293.2	7.42943485e-11	0	0	0	0	0	3
144	516	0	0.880103119	293.2	293.2	293.2	293.2	7.49196261e-11	0	0	0	0	0	3
145	518	0	0.886214946	293.2	293.2	293.2	293.2	7.56017471e-11	0	0	0	0	0	3
146	522	0	0.892326773	293.2	293.2	293.2	293.2	7.61133379e-11	0	0	0	0	0	3
147	524	0	0.8984386	293.2	293.2	293.2	293.2	7.6681772e-11	0	0	0	0	0	3
148	527	0	0.904550428	293.2	293.2	293.2	293.2	7.73638931e-11	0	0	0	0	0	3
149	530	0	0.910662255	293.2	293.2	293.2	293.2	7.79323273e-11	0	0	0	0	0	3
150	532	0	0.916774082	293.2	293.2	293.2	293.2	7.8443918e-11	0	0	0	0	0	3
151	536	0	0.922885909	293.2	293.2	293.2	293.2	7.90691956e-11	0	0	0	0	0	3
152	538	0	0.928997737	293.2	293.2	293.2	293.2	7.96376298e-11	0	0	0	0	0	3
153	541	0	0.935109564	293.2	293.2	293.2	293.2	8.0206064e-11	0	0	0	0	0	3
154	544	0	0.941221391	293.2	293.2	293.2	293.2	8.07176548e-11	0	0	0	0	0	3
155	547	0	0.947333218	293.2	293.2	293.2	293.2	8.12292456e-11	0	0	0	0	0	3
156	550	0	0.953445045	293.2	293.2	293.2	293.2	8.17976797e-11	0	0	0	0	0	3
157	553	0	0.959556873	293.2	293.2	293.2	293.2	8.22524271e-11	0	0	0	0	0	3
158	556	0	0.9656687	293.2	293.2	293.2	293.2	8.27640179e-11	0	0	0	0	0	3
159	558	0	0.971780527	293.2	293.2	293.2	293.2	8.3332452e-11	0	0	0	0	0	3
160	561	0	0.977892354	293.2	293.2	293.2	293.2	8.31050784e-11	0	0	0	0	0	3
161	564	0	0.984004181	293.2	293.2	293.2	293.2	7.89555088e-11	0	0	0	0	0	3
162	567	0	0.990116009	293.2	293.2	293.2	293.2	8.17976797e-11	0	0	0	0	0	3
163	570	0	0.996227836	293.2	293.2	293.2	293.2	8.36735126e-11	0	0	0	0	0	3
164	572	0	1.00233966	293.2	293.2	293.2	293.2	8.08313416e-11	2.932e-06	0	100	0	0	3
